#  Computed using PBH limits in DarkSUSY 5.1.2
#  by adding the following code snippets to
#  test/dstest-ucmh.h, along with relevant
#  declarations.
#
#      call dspbh_init
#      do i = 0, 5263
#        k = 10.d0**(2.d0 + dble(i)/2000.d0*8.d0)
#        betashare = dspbh_limits(k)
#        log10PR = zeroin(0.d0, -10.d0, diff_PR, 1.d-5)
#        write(*,*) k, log10PR
#      enddo
#
#      double precision function diff_PR(logP)
#      implicit none
#      double precision, intent(IN) :: logP
#      double precision :: betashare, dsucmh_beta_generalised
#      common /adhoc/betashare
#      diff_PR =       dsucmh_beta_generalised(logP,1.d0/3.d0,5.d0) - betashare
#      end function diff_PR
#
#  Pat Scott Nov 3 2015
#
#  k (Mpc^-1)               log10(P_R max)
   100.00000000000000       -2.5802460018991886
   100.92528860766845       -2.5802461188874930
   101.85913880541169       -2.5803122458677645
   102.80162981264735       -2.5805754875722764
   103.75284158180126       -2.5808385221727761
   104.71285480508996       -2.5811013368073801
   105.68175092136585       -2.5813639164013931
   106.65961212302579       -2.5815311473288971
   107.64652136298349       -2.5815312638291612
   108.64256236170655       -2.5815313803293729
   109.64781961431851       -2.5817724332286893
   110.66237839776664       -2.5820393259927226
   111.68632477805612       -2.5823009093888363
   112.71974561755106       -2.5825621559729943
   113.76272858234310       -2.5828153377054832
   114.81536214968828       -2.5828154540751225
   115.87773561551262       -2.5828155704447333
   116.94993910198711       -2.5829696747029049
   118.03206356517298       -2.5832315114899442
   119.12420080273751       -2.5834555128107355
   120.22644346174131       -2.5834556290215978
   121.33888504649774       -2.5834557452324316
   122.46161992650489       -2.5836390929096846
   123.59474334445108       -2.5839005633855381
   124.73835142429432       -2.5841618964719917
   125.89254117941675       -2.5844230964039432
   127.05741052085419       -2.5846841681724682
   128.23305826560218       -2.5847331213393119
   129.41958414499862       -2.5847332372599485
   130.61708881318418       -2.5848297212610722
   131.82567385564073       -2.5850906053844032
   133.04544179780913       -2.5853513782543729
   134.27649611378641       -2.5856120484021470
   135.51894123510365       -2.5858726256190696
   136.77288255958496       -2.5860077637829395
   138.03842646028852       -2.5860078794845212
   139.31568029453035       -2.5860179201399540
   140.60475241299144       -2.5862783754203273
   141.90575216890926       -2.5865337694324753
   143.21878992735438       -2.5867941175042475
   144.54397707459279       -2.5870544368296766
   145.88142602753490       -2.5872757628476513
   147.23125024327194       -2.5872758780400873
   148.59356422870076       -2.5872759932324936
   149.96848355023741       -2.5874592936674712
   151.35612484362088       -2.5877184546315375
   152.75660582380732       -2.5879094358383421
   154.17004529495600       -2.5879095508627503
   155.59656316050751       -2.5879096658871275
   157.03628043335530       -2.5881218470814984
   158.48931924611142       -2.5883806087061547
   159.95580286146696       -2.5886392111033993
   161.43585568264871       -2.5888976515523283
   162.92960326397230       -2.5891559264418342
   164.43717232149325       -2.5891737216775863
   165.95869074375614       -2.5891738363510903
   167.49428760264382       -2.5892998995681014
   169.04409316432648       -2.5895579066469678
   170.60823890031244       -2.5898161014133105
   172.18685749860060       -2.5900738848295517
   173.78008287493762       -2.5903315168630732
   175.38805018417602       -2.5904345531464705
   177.01089583174220       -2.5904346675165719
   178.64875748520498       -2.5904751393218666
   180.30177408595699       -2.5907325356191171
   181.97008586099827       -2.5909897806231439
   183.65383433483476       -2.5912468743594665
   185.35316234148104       -2.5915038184016153
   187.06821403658017       -2.5916916222835709
   188.79913490962926       -2.5916917363276588
