 k(Mpc^-1)     CL=0.4515     CL=0.5763     CL=0.6827     CL=0.7699     CL=0.8385     CL=0.8904     CL=0.9281     CL=0.9545     CL=0.9722     CL=0.9836     CL=0.9907     CL=0.9949     CL=0.9973
 0.3020793E+07 0.7619370E-08 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.2831094E+07 0.7318479E-08 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.2653308E+07 0.7043663E-08 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.2486686E+07 0.6791770E-08 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.2330528E+07 0.6560226E-08 0.7967982E-08 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.2184176E+07 0.6346736E-08 0.7649135E-08 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.2047015E+07 0.6149362E-08 0.7358224E-08 0.8126089E-08 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.1918467E+07 0.5966406E-08 0.7091945E-08 0.7799740E-08 0.8346115E-08 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.1797991E+07 0.5796470E-08 0.6847391E-08 0.7502099E-08 0.8004429E-08 0.8423403E-08 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.1685082E+07 0.5638263E-08 0.6622122E-08 0.7229757E-08 0.7693296E-08 0.8078175E-08 0.8413458E-08 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.1579262E+07 0.5490679E-08 0.6414017E-08 0.6979718E-08 0.7408911E-08 0.7763819E-08 0.8071958E-08 0.8347442E-08 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.1480088E+07 0.5352726E-08 0.6221331E-08 0.6749468E-08 0.7148176E-08 0.7476606E-08 0.7760837E-08 0.8014231E-08 0.8245722E-08 0.8459729E-08 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.1387142E+07 0.5223587E-08 0.6042474E-08 0.6536824E-08 0.6908353E-08 0.7213274E-08 0.7476372E-08 0.7710317E-08 0.7923541E-08 0.8120199E-08 0.8303623E-08 0.8477401E-08 0.8641377E-08 0.0000000E+00
 0.1300033E+07 0.5102483E-08 0.5876088E-08 0.6339991E-08 0.6687134E-08 0.6971090E-08 0.7215383E-08 0.7432151E-08 0.7629262E-08 0.7810701E-08 0.7979625E-08 0.8139396E-08 0.8289914E-08 0.8433039E-08
 0.1218394E+07 0.4988739E-08 0.5720963E-08 0.6157334E-08 0.6482508E-08 0.6747688E-08 0.6975270E-08 0.7176696E-08 0.7359521E-08 0.7527542E-08 0.7683678E-08 0.7831122E-08 0.7969825E-08 0.8101532E-08
 0.1141881E+07 0.4881738E-08 0.5576103E-08 0.5987455E-08 0.6292822E-08 0.6541124E-08 0.6753708E-08 0.6941467E-08 0.7111569E-08 0.7267636E-08 0.7412401E-08 0.7548943E-08 0.7677215E-08 0.7798863E-08
 0.1070174E+07 0.4780975E-08 0.5440566E-08 0.5829113E-08 0.6116560E-08 0.6349633E-08 0.6548730E-08 0.6724233E-08 0.6882958E-08 0.7028324E-08 0.7163032E-08 0.7289888E-08 0.7408910E-08 0.7521652E-08
 0.1002969E+07 0.4685954E-08 0.5313542E-08 0.5681283E-08 0.5952423E-08 0.6171711E-08 0.6358607E-08 0.6523107E-08 0.6671616E-08 0.6807426E-08 0.6933110E-08 0.7051320E-08 0.7162100E-08 0.7266920E-08
 0.9399850E+06 0.4596240E-08 0.5194292E-08 0.5543000E-08 0.5799255E-08 0.6006020E-08 0.6181920E-08 0.6336428E-08 0.6475729E-08 0.6602972E-08 0.6720555E-08 0.6831015E-08 0.6934421E-08 0.7032163E-08
 0.8809561E+06 0.4511429E-08 0.5082212E-08 0.5413429E-08 0.5656102E-08 0.5851463E-08 0.6017349E-08 0.6162828E-08 0.6293802E-08 0.6413285E-08 0.6523540E-08 0.6627029E-08 0.6723810E-08 0.6815202E-08
 0.8256341E+06 0.4431198E-08 0.4976709E-08 0.5291815E-08 0.5522060E-08 0.5707002E-08 0.5863766E-08 0.6001037E-08 0.6124455E-08 0.6236885E-08 0.6340566E-08 0.6437762E-08 0.6528570E-08 0.6614246E-08
 0.7737861E+06 0.4355213E-08 0.4877271E-08 0.5177536E-08 0.5396347E-08 0.5571747E-08 0.5720154E-08 0.5849962E-08 0.5966505E-08 0.6072552E-08 0.6170245E-08 0.6261739E-08 0.6347144E-08 0.6427654E-08
 0.7251941E+06 0.4283183E-08 0.4783423E-08 0.5069987E-08 0.5278250E-08 0.5444888E-08 0.5585680E-08 0.5708623E-08 0.5818890E-08 0.5919142E-08 0.6011386E-08 0.6097699E-08 0.6178200E-08 0.6254028E-08
