 k(Mpc^-1)     CL=0.4515     CL=0.5763     CL=0.6827     CL=0.7699     CL=0.8385     CL=0.8904     CL=0.9281     CL=0.9545     CL=0.9722     CL=0.9836     CL=0.9907     CL=0.9949     CL=0.9973
 0.3111083E+08 0.1029846E-06 0.1031556E-06 0.1033239E-06 0.1034898E-06 0.1036532E-06 0.1038142E-06 0.1039728E-06 0.1041296E-06 0.1042841E-06 0.1044363E-06 0.1045874E-06 0.1047357E-06 0.1048817E-06
 0.2870652E+08 0.1038142E-06 0.1039865E-06 0.1041562E-06 0.1043234E-06 0.1044881E-06 0.1046504E-06 0.1048103E-06 0.1049683E-06 0.1051241E-06 0.1052776E-06 0.1054298E-06 0.1055793E-06 0.1057265E-06
 0.2648801E+08 0.1046538E-06 0.1048275E-06 0.1049985E-06 0.1051671E-06 0.1053331E-06 0.1054968E-06 0.1056579E-06 0.1058173E-06 0.1059743E-06 0.1061290E-06 0.1062825E-06 0.1064332E-06 0.1065815E-06
 0.2444096E+08 0.1055036E-06 0.1056787E-06 0.1058512E-06 0.1060211E-06 0.1061885E-06 0.1063534E-06 0.1065159E-06 0.1066765E-06 0.1068348E-06 0.1069908E-06 0.1071455E-06 0.1072974E-06 0.1074470E-06
 0.2255211E+08 0.1063638E-06 0.1065403E-06 0.1067142E-06 0.1068855E-06 0.1070543E-06 0.1072206E-06 0.1073844E-06 0.1075463E-06 0.1077059E-06 0.1078631E-06 0.1080191E-06 0.1081723E-06 0.1083231E-06
 0.2080923E+08 0.1072345E-06 0.1074125E-06 0.1075878E-06 0.1077606E-06 0.1079307E-06 0.1080984E-06 0.1082635E-06 0.1084267E-06 0.1085876E-06 0.1087461E-06 0.1089034E-06 0.1090578E-06 0.1092099E-06
 0.1920105E+08 0.1081161E-06 0.1082955E-06 0.1084722E-06 0.1086464E-06 0.1088179E-06 0.1089870E-06 0.1091535E-06 0.1093181E-06 0.1094803E-06 0.1096401E-06 0.1097987E-06 0.1099543E-06 0.1101076E-06
 0.1771715E+08 0.1090085E-06 0.1091894E-06 0.1093676E-06 0.1095432E-06 0.1097161E-06 0.1098866E-06 0.1100544E-06 0.1102204E-06 0.1103840E-06 0.1105451E-06 0.1107050E-06 0.1108619E-06 0.1110165E-06
 0.1634793E+08 0.1099120E-06 0.1100944E-06 0.1102741E-06 0.1104512E-06 0.1106255E-06 0.1107974E-06 0.1109666E-06 0.1111340E-06 0.1112989E-06 0.1114613E-06 0.1116226E-06 0.1117808E-06 0.1119366E-06
 0.1508452E+08 0.1108268E-06 0.1110108E-06 0.1111919E-06 0.1113705E-06 0.1115463E-06 0.1117195E-06 0.1118902E-06 0.1120589E-06 0.1122252E-06 0.1123890E-06 0.1125516E-06 0.1127112E-06 0.1128683E-06
