 k(Mpc^-1)     CL=0.4515     CL=0.5763     CL=0.6827     CL=0.7699     CL=0.8385     CL=0.8904     CL=0.9281     CL=0.9545     CL=0.9722     CL=0.9836     CL=0.9907     CL=0.9949     CL=0.9973
 0.3111083E+08 0.1728068E-06 0.1732769E-06 0.1737408E-06 0.1741989E-06 0.1746509E-06 0.1750972E-06 0.1755376E-06 0.1759739E-06 0.1764046E-06 0.1768297E-06 0.1772523E-06 0.1776678E-06 0.1780778E-06
 0.2870652E+08 0.1741986E-06 0.1746726E-06 0.1751402E-06 0.1756020E-06 0.1760576E-06 0.1765075E-06 0.1769515E-06 0.1773912E-06 0.1778254E-06 0.1782539E-06 0.1786799E-06 0.1790988E-06 0.1795121E-06
 0.2648801E+08 0.1756074E-06 0.1760851E-06 0.1765565E-06 0.1770221E-06 0.1774813E-06 0.1779349E-06 0.1783825E-06 0.1788258E-06 0.1792635E-06 0.1796954E-06 0.1801249E-06 0.1805472E-06 0.1809638E-06
 0.2444096E+08 0.1770333E-06 0.1775149E-06 0.1779901E-06 0.1784594E-06 0.1789224E-06 0.1793797E-06 0.1798309E-06 0.1802778E-06 0.1807190E-06 0.1811545E-06 0.1815875E-06 0.1820132E-06 0.1824332E-06
 0.2255211E+08 0.1784766E-06 0.1789621E-06 0.1794413E-06 0.1799144E-06 0.1803812E-06 0.1808421E-06 0.1812970E-06 0.1817476E-06 0.1821924E-06 0.1826315E-06 0.1830679E-06 0.1834971E-06 0.1839205E-06
 0.2080923E+08 0.1799377E-06 0.1804272E-06 0.1809102E-06 0.1813872E-06 0.1818578E-06 0.1823226E-06 0.1827812E-06 0.1832354E-06 0.1836839E-06 0.1841265E-06 0.1845666E-06 0.1849993E-06 0.1854261E-06
 0.1920105E+08 0.1814167E-06 0.1819103E-06 0.1823973E-06 0.1828782E-06 0.1833527E-06 0.1838212E-06 0.1842836E-06 0.1847416E-06 0.1851938E-06 0.1856400E-06 0.1860837E-06 0.1865199E-06 0.1869503E-06
 0.1771715E+08 0.1829141E-06 0.1834117E-06 0.1839028E-06 0.1843877E-06 0.1848660E-06 0.1853385E-06 0.1858047E-06 0.1862664E-06 0.1867223E-06 0.1871723E-06 0.1876196E-06 0.1880595E-06 0.1884934E-06
 0.1634793E+08 0.1844301E-06 0.1849319E-06 0.1854270E-06 0.1859159E-06 0.1863982E-06 0.1868746E-06 0.1873446E-06 0.1878102E-06 0.1882699E-06 0.1887235E-06 0.1891746E-06 0.1896181E-06 0.1900556E-06
 0.1508452E+08 0.1859650E-06 0.1864710E-06 0.1869702E-06 0.1874632E-06 0.1879495E-06 0.1884298E-06 0.1889038E-06 0.1893732E-06 0.1898368E-06 0.1902942E-06 0.1907490E-06 0.1911962E-06 0.1916374E-06
 0.1391876E+08 0.1875192E-06 0.1880294E-06 0.1885328E-06 0.1890299E-06 0.1895203E-06 0.1900046E-06 0.1904825E-06 0.1909559E-06 0.1914233E-06 0.1918846E-06 0.1923432E-06 0.1927941E-06 0.1932389E-06
 0.1284309E+08 0.1890930E-06 0.1896074E-06 0.1901150E-06 0.1906163E-06 0.1911108E-06 0.1915992E-06 0.1920812E-06 0.1925585E-06 0.1930298E-06 0.1934949E-06 0.1939574E-06 0.1944121E-06 0.1948607E-06
 0.1185054E+08 0.1906866E-06 0.1912054E-06 0.1917173E-06 0.1922228E-06 0.1927215E-06 0.1932140E-06 0.1937000E-06 0.1941813E-06 0.1946566E-06 0.1951257E-06 0.1955920E-06 0.1960506E-06 0.1965029E-06
 0.1093471E+08 0.1923005E-06 0.1928236E-06 0.1933399E-06 0.1938496E-06 0.1943525E-06 0.1948492E-06 0.1953393E-06 0.1958248E-06 0.1963041E-06 0.1967771E-06 0.1972474E-06 0.1977098E-06 0.1981660E-06
 0.1008965E+08 0.1939349E-06 0.1944625E-06 0.1949832E-06 0.1954972E-06 0.1960044E-06 0.1965053E-06 0.1969996E-06 0.1974892E-06 0.1979726E-06 0.1984496E-06 0.1989239E-06 0.1993902E-06 0.1998503E-06
 0.9309899E+07 0.1955903E-06 0.1961224E-06 0.1966475E-06 0.1971659E-06 0.1976775E-06 0.1981826E-06 0.1986812E-06 0.1991749E-06 0.1996624E-06 0.2001435E-06 0.2006218E-06 0.2010922E-06 0.2015562E-06
 0.8590409E+07 0.1972670E-06 0.1978036E-06 0.1983332E-06 0.1988561E-06 0.1993720E-06 0.1998815E-06 0.2003843E-06 0.2008823E-06 0.2013740E-06 0.2018592E-06 0.2023416E-06 0.2028160E-06 0.2032840E-06
 0.7926523E+07 0.1989653E-06 0.1995066E-06 0.2000407E-06 0.2005681E-06 0.2010885E-06 0.2016024E-06 0.2021095E-06 0.2026117E-06 0.2031076E-06 0.2035970E-06 0.2040836E-06 0.2045621E-06 0.2050341E-06
 0.7313944E+07 0.2006856E-06 0.2012316E-06 0.2017704E-06 0.2023023E-06 0.2028272E-06 0.2033455E-06 0.2038570E-06 0.2043636E-06 0.2048638E-06 0.2053574E-06 0.2058482E-06 0.2063308E-06 0.2068069E-06
 0.6748706E+07 0.2024284E-06 0.2029791E-06 0.2035225E-06 0.2040591E-06 0.2045885E-06 0.2051114E-06 0.2056273E-06 0.2061383E-06 0.2066428E-06 0.2071408E-06 0.2076358E-06 0.2081226E-06 0.2086028E-06
 0.6227151E+07 0.2041940E-06 0.2047495E-06 0.2052976E-06 0.2058389E-06 0.2063729E-06 0.2069003E-06 0.2074208E-06 0.2079362E-06 0.2084451E-06 0.2089474E-06 0.2094468E-06 0.2099378E-06 0.2104222E-06
 0.5745903E+07 0.2059827E-06 0.2065431E-06 0.2070961E-06 0.2076421E-06 0.2081808E-06 0.2087128E-06 0.2092378E-06 0.2097577E-06 0.2102711E-06 0.2107778E-06 0.2112816E-06 0.2117769E-06 0.2122655E-06
 0.5301847E+07 0.2077951E-06 0.2083604E-06 0.2089182E-06 0.2094691E-06 0.2100125E-06 0.2105492E-06 0.2110788E-06 0.2116033E-06 0.2121213E-06 0.2126324E-06 0.2131406E-06 0.2136402E-06 0.2141332E-06
 0.4892109E+07 0.2096315E-06 0.2102018E-06 0.2107646E-06 0.2113202E-06 0.2118685E-06 0.2124099E-06 0.2129442E-06 0.2134734E-06 0.2139959E-06 0.2145115E-06 0.2150242E-06 0.2155283E-06 0.2160256E-06
 0.4514036E+07 0.2114924E-06 0.2120677E-06 0.2126355E-06 0.2131961E-06 0.2137492E-06 0.2142954E-06 0.2148345E-06 0.2153683E-06 0.2158955E-06 0.2164157E-06 0.2169329E-06 0.2174415E-06 0.2179432E-06
 0.4165181E+07 0.2133781E-06 0.2139586E-06 0.2145314E-06 0.2150970E-06 0.2156551E-06 0.2162062E-06 0.2167500E-06 0.2172886E-06 0.2178205E-06 0.2183453E-06 0.2188672E-06 0.2193803E-06 0.2198865E-06
 0.3843287E+07 0.2152892E-06 0.2158749E-06 0.2164528E-06 0.2170235E-06 0.2175866E-06 0.2181426E-06 0.2186913E-06 0.2192347E-06 0.2197713E-06 0.2203009E-06 0.2208274E-06 0.2213451E-06 0.2218558E-06
 0.3546269E+07 0.2172261E-06 0.2178170E-06 0.2184002E-06 0.2189760E-06 0.2195441E-06 0.2201051E-06 0.2206588E-06 0.2212071E-06 0.2217485E-06 0.2222829E-06 0.2228141E-06 0.2233365E-06 0.2238518E-06
