 k(Mpc^-1)     CL=0.4515     CL=0.5763     CL=0.6827     CL=0.7699     CL=0.8385     CL=0.8904     CL=0.9281     CL=0.9545     CL=0.9722     CL=0.9836     CL=0.9907     CL=0.9949     CL=0.9973
 0.4043408E+06 0.8125000E-08 0.8557993E-08 0.8885623E-08 0.9133072E-08 0.9316966E-08 0.9450677E-08 0.9545171E-08 0.9610125E-08 0.9653135E-08 0.9680617E-08 0.9697644E-08 0.9707687E-08 0.9713415E-08
 0.3932185E+06 0.4782250E-08 0.4933876E-08 0.5044783E-08 0.5126469E-08 0.5186059E-08 0.5228805E-08 0.5258724E-08 0.5279153E-08 0.5292619E-08 0.5301198E-08 0.5306504E-08 0.5309630E-08 0.5311411E-08
 0.3824024E+06 0.4574862E-08 0.4713279E-08 0.4814289E-08 0.4888561E-08 0.4942674E-08 0.4981458E-08 0.5008587E-08 0.5027101E-08 0.5039302E-08 0.5047074E-08 0.5051879E-08 0.5054710E-08 0.5056324E-08
 0.3718838E+06 0.4454371E-08 0.4585214E-08 0.4680560E-08 0.4750596E-08 0.4801585E-08 0.4838109E-08 0.4863649E-08 0.4881072E-08 0.4892553E-08 0.4899865E-08 0.4904386E-08 0.4907051E-08 0.4908569E-08
 0.3616543E+06 0.4378196E-08 0.4504208E-08 0.4595949E-08 0.4663289E-08 0.4712290E-08 0.4747378E-08 0.4771906E-08 0.4788637E-08 0.4799661E-08 0.4806681E-08 0.4811021E-08 0.4813577E-08 0.4815035E-08
 0.3517064E+06 0.4328420E-08 0.4451183E-08 0.4540497E-08 0.4606025E-08 0.4653690E-08 0.4687812E-08 0.4711662E-08 0.4727927E-08 0.4738643E-08 0.4745467E-08 0.4749686E-08 0.4752172E-08 0.4753588E-08
 0.3420322E+06 0.4295957E-08 0.4416482E-08 0.4504126E-08 0.4568402E-08 0.4615147E-08 0.4648603E-08 0.4671984E-08 0.4687930E-08 0.4698433E-08 0.4705121E-08 0.4709257E-08 0.4711693E-08 0.4713081E-08
 0.3326240E+06 0.4275627E-08 0.4394608E-08 0.4481095E-08 0.4544509E-08 0.4590617E-08 0.4623612E-08 0.4646669E-08 0.4662392E-08 0.4672749E-08 0.4679343E-08 0.4683420E-08 0.4685823E-08 0.4687192E-08
 0.3234744E+06 0.4264221E-08 0.4382158E-08 0.4467866E-08 0.4530693E-08 0.4576368E-08 0.4609051E-08 0.4631888E-08 0.4647460E-08 0.4657717E-08 0.4664248E-08 0.4668287E-08 0.4670665E-08 0.4672020E-08
 0.3145767E+06 0.4259628E-08 0.4376901E-08 0.4462108E-08 0.4524559E-08 0.4569956E-08 0.4602437E-08 0.4625131E-08 0.4640605E-08 0.4650798E-08 0.4657288E-08 0.4661301E-08 0.4663664E-08 0.4665011E-08
 0.3059238E+06 0.4260395E-08 0.4377296E-08 0.4462221E-08 0.4524458E-08 0.4569696E-08 0.4602062E-08 0.4624675E-08 0.4640093E-08 0.4650248E-08 0.4656714E-08 0.4660713E-08 0.4663067E-08 0.4664409E-08
 0.2975087E+06 0.4265482E-08 0.4382246E-08 0.4467061E-08 0.4529216E-08 0.4574390E-08 0.4606709E-08 0.4629289E-08 0.4644683E-08 0.4654823E-08 0.4661280E-08 0.4665271E-08 0.4667622E-08 0.4668962E-08
 0.2893252E+06 0.4274121E-08 0.4390939E-08 0.4475789E-08 0.4537965E-08 0.4583153E-08 0.4615481E-08 0.4638065E-08 0.4653465E-08 0.4663608E-08 0.4670064E-08 0.4674058E-08 0.4676409E-08 0.4677749E-08
 0.2813669E+06 0.4285734E-08 0.4402766E-08 0.4487767E-08 0.4550052E-08 0.4595318E-08 0.4627702E-08 0.4650325E-08 0.4665751E-08 0.4675911E-08 0.4682378E-08 0.4686379E-08 0.4688734E-08 0.4690077E-08
 0.2736272E+06 0.4299876E-08 0.4417255E-08 0.4502506E-08 0.4564975E-08 0.4610374E-08 0.4642853E-08 0.4665543E-08 0.4681013E-08 0.4691203E-08 0.4697690E-08 0.4701701E-08 0.4704064E-08 0.4705411E-08
 0.2661007E+06 0.4316193E-08 0.4434035E-08 0.4519623E-08 0.4582339E-08 0.4627918E-08 0.4660525E-08 0.4683305E-08 0.4698837E-08 0.4709066E-08 0.4715580E-08 0.4719606E-08 0.4721979E-08 0.4723331E-08
 0.2587811E+06 0.4334406E-08 0.4452811E-08 0.4538811E-08 0.4601829E-08 0.4647629E-08 0.4680394E-08 0.4703285E-08 0.4718892E-08 0.4729171E-08 0.4735716E-08 0.4739762E-08 0.4742145E-08 0.4743504E-08
 0.2516629E+06 0.4354291E-08 0.4473347E-08 0.4559824E-08 0.4623193E-08 0.4669249E-08 0.4702198E-08 0.4725216E-08 0.4740912E-08 0.4751249E-08 0.4757830E-08 0.4761900E-08 0.4764296E-08 0.4765663E-08
 0.2447404E+06 0.4375662E-08 0.4495449E-08 0.4582460E-08 0.4646222E-08 0.4692567E-08 0.4725721E-08 0.4748885E-08 0.4764680E-08 0.4775081E-08 0.4781705E-08 0.4785801E-08 0.4788212E-08 0.4789587E-08
 0.2380084E+06 0.4398367E-08 0.4518954E-08 0.4606552E-08 0.4670747E-08 0.4717407E-08 0.4750790E-08 0.4774113E-08 0.4790015E-08 0.4800490E-08 0.4807159E-08 0.4811283E-08 0.4813711E-08 0.4815096E-08
 0.2314616E+06 0.4422280E-08 0.4543730E-08 0.4631961E-08 0.4696626E-08 0.4743628E-08 0.4777257E-08 0.4800753E-08 0.4816772E-08 0.4827324E-08 0.4834043E-08 0.4838196E-08 0.4840644E-08 0.4842038E-08
 0.2250947E+06 0.4447292E-08 0.4569665E-08 0.4658574E-08 0.4723740E-08 0.4771108E-08 0.4805000E-08 0.4828679E-08 0.4844825E-08 0.4855460E-08 0.4862232E-08 0.4866418E-08 0.4868883E-08 0.4870289E-08
 0.2189031E+06 0.4473317E-08 0.4596665E-08 0.4686292E-08 0.4751988E-08 0.4799744E-08 0.4833914E-08 0.4857788E-08 0.4874068E-08 0.4884791E-08 0.4891617E-08 0.4895839E-08 0.4898326E-08 0.4899743E-08
