 k(Mpc^-1)     CL=0.4515     CL=0.5763     CL=0.6827     CL=0.7699     CL=0.8385     CL=0.8904     CL=0.9281     CL=0.9545     CL=0.9722     CL=0.9836     CL=0.9907     CL=0.9949     CL=0.9973
 0.6796536E+06 0.4632389E-06 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.6369729E+06 0.4451601E-06 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.5969724E+06 0.4286593E-06 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.5594839E+06 0.4135473E-06 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.5243496E+06 0.3996618E-06 0.4857841E-06 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.4914216E+06 0.3868700E-06 0.4665773E-06 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.4605615E+06 0.3750524E-06 0.4490680E-06 0.4961235E-06 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.4316393E+06 0.3641078E-06 0.4330482E-06 0.4764406E-06 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.4045333E+06 0.3539470E-06 0.4183480E-06 0.4585043E-06 0.4893272E-06 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.3791295E+06 0.3444965E-06 0.4048170E-06 0.4420998E-06 0.4705557E-06 0.4941922E-06 0.5147928E-06 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.3553211E+06 0.3356878E-06 0.3923280E-06 0.4270519E-06 0.4534127E-06 0.4752173E-06 0.4941516E-06 0.5110891E-06 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.3330077E+06 0.3274622E-06 0.3807701E-06 0.4132053E-06 0.4377025E-06 0.4578885E-06 0.4753630E-06 0.4909455E-06 0.5051842E-06 0.5183502E-06 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.3120956E+06 0.3197668E-06 0.3700517E-06 0.4004289E-06 0.4232651E-06 0.4420147E-06 0.4581968E-06 0.4725891E-06 0.4857094E-06 0.4978153E-06 0.5091032E-06 0.5198019E-06 0.5298986E-06 0.0000000E+00
 0.2924967E+06 0.3125581E-06 0.3600890E-06 0.3886084E-06 0.4099579E-06 0.4274266E-06 0.4424612E-06 0.4558004E-06 0.4679343E-06 0.4791055E-06 0.4895077E-06 0.4993477E-06 0.5086192E-06 0.5174365E-06
 0.2741286E+06 0.3057942E-06 0.3508098E-06 0.3776498E-06 0.3976603E-06 0.4139822E-06 0.4279911E-06 0.4403961E-06 0.4516558E-06 0.4620031E-06 0.4716219E-06 0.4807066E-06 0.4892537E-06 0.4973708E-06
 0.2569139E+06 0.2994388E-06 0.3421498E-06 0.3674664E-06 0.3862665E-06 0.4015573E-06 0.4146513E-06 0.4262184E-06 0.4366995E-06 0.4463171E-06 0.4552418E-06 0.4636585E-06 0.4715665E-06 0.4790669E-06
 0.2407803E+06 0.2934585E-06 0.3340561E-06 0.3579842E-06 0.3756895E-06 0.3900503E-06 0.4023200E-06 0.4131377E-06 0.4229226E-06 0.4318873E-06 0.4401919E-06 0.4480151E-06 0.4553562E-06 0.4623106E-06
 0.2256598E+06 0.2878263E-06 0.3264780E-06 0.3491370E-06 0.3658488E-06 0.3793677E-06 0.3908936E-06 0.4010368E-06 0.4101968E-06 0.4185746E-06 0.4263287E-06 0.4336224E-06 0.4404585E-06 0.4469273E-06
 0.2114889E+06 0.2825150E-06 0.3193721E-06 0.3408703E-06 0.3566754E-06 0.3694298E-06 0.3802806E-06 0.3898162E-06 0.3984130E-06 0.4062649E-06 0.4135230E-06 0.4203422E-06 0.4267265E-06 0.4327617E-06
 0.1982079E+06 0.2775012E-06 0.3126985E-06 0.3331323E-06 0.3481074E-06 0.3601654E-06 0.3704059E-06 0.3793879E-06 0.3874753E-06 0.3948541E-06 0.4016654E-06 0.4080578E-06 0.4140363E-06 0.4196825E-06
 0.1857609E+06 0.2727628E-06 0.3064247E-06 0.3258780E-06 0.3400940E-06 0.3515159E-06 0.3611991E-06 0.3696793E-06 0.3773047E-06 0.3842535E-06 0.3906592E-06 0.3966662E-06 0.4022789E-06 0.4075748E-06
 0.1740955E+06 0.2682822E-06 0.3005186E-06 0.3190667E-06 0.3325863E-06 0.3434258E-06 0.3525998E-06 0.3606226E-06 0.3678275E-06 0.3743843E-06 0.3804250E-06 0.3860830E-06 0.3913648E-06 0.3963443E-06
 0.1631627E+06 0.2640411E-06 0.2949523E-06 0.3126649E-06 0.3255424E-06 0.3358471E-06 0.3445534E-06 0.3521593E-06 0.3589805E-06 0.3651814E-06 0.3708887E-06 0.3762295E-06 0.3812111E-06 0.3859037E-06
 0.1529165E+06 0.2600237E-06 0.2896999E-06 0.3066396E-06 0.3189236E-06 0.3287360E-06 0.3370152E-06 0.3442365E-06 0.3507066E-06 0.3565836E-06 0.3619867E-06 0.3670384E-06 0.3717466E-06 0.3761785E-06
 0.1433137E+06 0.2562148E-06 0.2847406E-06 0.3009624E-06 0.3126985E-06 0.3220570E-06 0.3299419E-06 0.3368110E-06 0.3429590E-06 0.3485381E-06 0.3536615E-06 0.3584491E-06 0.3629077E-06 0.3671017E-06
 0.1343139E+06 0.2526026E-06 0.2800530E-06 0.2956066E-06 0.3068360E-06 0.3157748E-06 0.3232961E-06 0.3298408E-06 0.3356926E-06 0.3409969E-06 0.3458662E-06 0.3504117E-06 0.3546419E-06 0.3586185E-06
